name,session,group,eff,threshold,Cq
T33,1,Triple Negative,1.904,227.494,23.904
T33,1,Triple Negative,1.901,227.494,23.751
T33,1,Triple Negative,1.000,227.494,0.000
T34,1,Triple Negative,1.971,227.494,25.793
T34,1,Triple Negative,1.971,227.494,25.917
T34,1,Triple Negative,1.000,227.494,0.000
T15,1,Triple Negative,1.995,227.494,23.647
T15,1,Triple Negative,2.002,227.494,23.428
T15,1,Triple Negative,1.000,227.494,0.000
T42,1,Triple Negative,1.947,227.494,22.891
T42,1,Triple Negative,2.002,227.494,23.062
T42,1,Triple Negative,1.000,227.494,0.000
T59,1,Triple Negative,2.000,227.494,22.712
T59,1,Triple Negative,1.998,227.494,22.908
T59,1,Triple Negative,1.000,227.494,0.000
T44,1,Triple Negative,1.999,227.494,24.775
T44,1,Triple Negative,2.030,227.494,24.605
T44,1,Triple Negative,1.000,227.494,0.000
T92,1,Triple Negative,2.000,227.494,26.112
T92,1,Triple Negative,2.005,227.494,25.756
T92,1,Triple Negative,1.000,227.494,0.000
T25,1,Triple Negative,1.900,227.494,23.106
T25,1,Triple Negative,1.999,227.494,23.326
T25,1,Triple Negative,1.000,227.494,0.000
T49,1,Triple Negative,1.916,227.494,22.496
T49,1,Triple Negative,1.990,227.494,22.399
T49,1,Triple Negative,1.000,227.494,0.000
T98,1,Triple Negative,2.001,227.494,25.754
T98,1,Triple Negative,2.002,227.494,25.420
T98,1,Triple Negative,1.000,227.494,0.000
T113,1,Triple Negative,1.992,227.494,23.534
T113,1,Triple Negative,1.991,227.494,23.349
T113,1,Triple Negative,1.000,227.494,0.000
T114,1,Triple Negative,2.028,227.494,24.478
T114,1,Triple Negative,2.018,227.494,24.279
T114,1,Triple Negative,1.000,227.494,0.000
NK,1,NK,1.000,227.494,0.000
T2,2,Luminal B HER+,2.000,227.494,25.400
T2,2,Luminal B HER+,1.970,227.494,25.145
T2,2,Luminal B HER+,1.000,227.494,0.000
T39,2,Luminal B HER+,2.018,227.494,25.044
T39,2,Luminal B HER+,1.999,227.494,24.942
T39,2,Luminal B HER+,1.000,227.494,0.000
T74,2,Luminal B HER+,1.999,227.494,26.105
T74,2,Luminal B HER+,1.999,227.494,25.960
T74,2,Luminal B HER+,1.000,227.494,0.000
