name,session,group,eff,threshold,Cq
T33,1,Triple Negative,1.961,150.65,28.126
T33,1,Triple Negative,1.902,150.65,27.59
T33,1,Triple Negative,1,150.65,0
T34,1,Triple Negative,1.972,150.65,26.09
T34,1,Triple Negative,1.916,150.65,25.836
T34,1,Triple Negative,1,150.65,0
T15,1,Triple Negative,1.968,150.65,23.935
T15,1,Triple Negative,1.887,150.65,24.004
T15,1,Triple Negative,1,150.65,0
T42,1,Triple Negative,1.959,150.65,26.679
T42,1,Triple Negative,1.924,150.65,26.645
T42,1,Triple Negative,1,150.65,0
T59,1,Triple Negative,1.963,150.65,26.666
T59,1,Triple Negative,1.93,150.65,26.635
T59,1,Triple Negative,1,150.65,0
T44,1,Triple Negative,1.968,150.65,26.139
T44,1,Triple Negative,1.938,150.65,26.017
T44,1,Triple Negative,1,150.65,0
T92,1,Triple Negative,1.946,150.65,27.745
T92,1,Triple Negative,1.977,150.65,27.811
T92,1,Triple Negative,1,150.65,0
T25,1,Triple Negative,1.974,150.65,26.736
T25,1,Triple Negative,1.97,150.65,26.895
T25,1,Triple Negative,1,150.65,0
T49,1,Triple Negative,1.974,150.65,22.574
T49,1,Triple Negative,1.991,150.65,22.67
T49,1,Triple Negative,1,150.65,0
T98,1,Triple Negative,1.836,150.65,30.783
T98,1,Triple Negative,1.878,150.65,30.912
T98,1,Triple Negative,1,150.65,0
T113,1,Triple Negative,1.942,150.65,26.492
T113,1,Triple Negative,1.952,150.65,26.642
T113,1,Triple Negative,1,150.65,0
T114,1,Triple Negative,1.832,150.65,25.298
T114,1,Triple Negative,1.835,150.65,25.201
T114,1,Triple Negative,1,150.65,0
NK,1,NK,1,150.65,0
T11,2,Luminal A,1.91,150.65,27.815
T11,2,Luminal A,1.907,150.65,27.6
T11,2,Luminal A,1,150.65,0
T14,2,Luminal A,1.831,150.65,26.432
T14,2,Luminal A,1.987,150.65,26.878
T14,2,Luminal A,1,150.65,0
T63n,2,Luminal A,1.865,150.65,28.755
T63n,2,Luminal A,1.861,150.65,28.763
T63n,2,Luminal A,1,150.65,0
T24,2,Luminal A,1.861,150.65,28.936
T24,2,Luminal A,1.851,150.65,28.768
T24,2,Luminal A,1,150.65,0
T31,2,Luminal A,1.889,150.65,28.426
T31,2,Luminal A,1.82,150.65,28.229
T31,2,Luminal A,1,150.65,0
T73,2,Luminal A,1.934,150.65,28.175
T73,2,Luminal A,1.938,150.65,28.178
T73,2,Luminal A,1,150.65,0
T76,2,Luminal A,1.946,150.65,29.164
T76,2,Luminal A,1.944,150.65,28.799
T76,2,Luminal A,1,150.65,0
T103,2,Luminal A,1.908,150.65,29.733
T103,2,Luminal A,1.901,150.65,29.836
T103,2,Luminal A,1,150.65,0
T106,2,Luminal A,1.952,150.65,28.211
T106,2,Luminal A,1.946,150.65,27.905
T106,2,Luminal A,1,150.65,0
T122,2,Triple Negative,1.934,150.65,27.095
T122,2,Triple Negative,1.916,150.65,27.2
T122,2,Triple Negative,1,150.65,0
T123,2,Triple Negative,1.816,150.65,26.645
T123,2,Triple Negative,1.871,150.65,26.701
T123,2,Triple Negative,1,150.65,0
T130,2,Triple Negative,1.85,150.65,27.717
T130,2,Triple Negative,1.907,150.65,27.648
T130,2,Triple Negative,1,150.65,0
NK,2,NK,1,150.65,0
T100,3,Luminal A,1.84,150.65,26.504
T100,3,Luminal A,1.861,150.65,26.557
T100,3,Luminal A,1,150.65,0
T131,3,Triple Negative,1.904,150.65,28.123
T131,3,Triple Negative,1.901,150.65,28.371
T131,3,Triple Negative,1,150.65,0
T132,3,Triple Negative,1.927,150.65,28.29
T132,3,Triple Negative,1.81,150.65,28.333
T132,3,Triple Negative,1,150.65,0
T86,3,Triple Negative,1.857,150.65,30.395
T86,3,Triple Negative,1.861,150.65,30.098
T86,3,Triple Negative,1,150.65,0
N15_2,3,Adjacent,1.793,150.65,29.184
N15_2,3,Adjacent,1.805,150.65,29.177
N15_2,3,Adjacent,1,150.65,0
N15_6,3,Adjacent,1.904,150.65,30.102
N15_6,3,Adjacent,1.917,150.65,30.261
N15_6,3,Adjacent,1,150.65,0
N15_8,3,Adjacent,1.852,150.65,34.374
N15_8,3,Adjacent,1.843,150.65,33.609
N15_8,3,Adjacent,1,150.65,0
N15_9,3,Adjacent,1.919,150.65,30.971
N15_9,3,Adjacent,1.901,150.65,30.964
N15_9,3,Adjacent,1,150.65,0
N15_4,3,Adjacent,1.83,150.65,27.714
N15_4,3,Adjacent,1.906,150.65,28.187
N15_4,3,Adjacent,1,150.65,0
N96,3,Adjacent,1.837,150.65,33.134
N96,3,Adjacent,1.864,150.65,32.683
N96,3,Adjacent,1,150.65,0
N85,3,Adjacent,1.943,150.65,30.438
N85,3,Adjacent,1.9,150.65,30.275
N85,3,Adjacent,1,150.65,0
NK,3,NK,1,150.65,0
T100,4,Luminal A,1.845,150.65,25.077
T100,4,Luminal A,1.877,150.65,24.984
T100,4,Luminal A,1,150.65,0
T115,4,HER-Enriched,1.831,150.65,29.336
T115,4,HER-Enriched,1.849,150.65,29.588
T115,4,HER-Enriched,1,150.65,0
T102,4,Luminal A,1.824,150.65,28.311
T102,4,Luminal A,1.904,150.65,28.538
T102,4,Luminal A,1,150.65,0
T118,4,Triple Negative,1.81,150.65,27.573
T118,4,Triple Negative,1.793,150.65,27.476
T118,4,Triple Negative,1,150.65,0
T120,4,Triple Negative,1.837,150.65,28.441
T120,4,Triple Negative,1.846,150.65,28.465
T120,4,Triple Negative,1,150.65,0
T117,4,HER-Enriched,1.863,150.65,27.561
T117,4,HER-Enriched,1.824,150.65,27.845
T117,4,HER-Enriched,1,150.65,0
T124,4,HER-Enriched,1.865,150.65,27.101
T124,4,HER-Enriched,1.814,150.65,26.93
T124,4,HER-Enriched,1,150.65,0
T125,4,HER-Enriched,1.931,150.65,27.339
T125,4,HER-Enriched,1.949,150.65,27.6
T125,4,HER-Enriched,1,150.65,0
T126,4,HER-Enriched,1.772,150.65,27.915
T126,4,HER-Enriched,1.771,150.65,28.106
T126,4,HER-Enriched,1,150.65,0
T127,4,HER-Enriched,1.821,150.65,28.434
T127,4,HER-Enriched,1.773,150.65,27.797
T127,4,HER-Enriched,1,150.65,0
N95,4,Adjacent,1.802,150.65,29.275
N95,4,Adjacent,1.9,150.65,29.223
N95,4,Adjacent,1,150.65,0
T67,4,Luminal B HER-,1.788,150.65,31.076
T67,4,Luminal B HER-,1.867,150.65,31.098
T67,4,Luminal B HER-,1,150.65,0
NK,4,NK,1,150.65,0
T60,5,Luminal A,1.823,150.65,27.646
T60,5,Luminal A,1.866,150.65,27.533
T60,5,Luminal A,1,150.65,0
T66,5,Luminal A,1.888,150.65,28.382
T66,5,Luminal A,1.892,150.65,28.467
T66,5,Luminal A,1,150.65,0
T91,5,Luminal A,1.931,150.65,28.619
T91,5,Luminal A,1.93,150.65,28.565
T91,5,Luminal A,1,150.65,0
T37,5,Luminal A,1.973,150.65,25.7
T37,5,Luminal A,1.961,150.65,25.409
T37,5,Luminal A,1,150.65,0
T62,5,Luminal A,1.938,150.65,28.098
T62,5,Luminal A,1.947,150.65,28.062
T62,5,Luminal A,1,150.65,0
T64n,5,Luminal A,1.939,150.65,29.565
T64n,5,Luminal A,1.959,150.65,29.385
T64n,5,Luminal A,1,150.65,0
T70,5,Luminal A,1.838,150.65,28.76
T70,5,Luminal A,1.882,150.65,28.859
T70,5,Luminal A,1,150.65,0
NK,5,NK,1,150.65,0
T2,6,Luminal B HER+,1.874,150.65,26.896
T2,6,Luminal B HER+,1.937,150.65,26.952
T2,6,Luminal B HER+,1,150.65,0
T39,6,Luminal B HER+,1.906,150.65,25.767
T39,6,Luminal B HER+,1.858,150.65,25.798
T39,6,Luminal B HER+,1,150.65,0
T74,6,Luminal B HER+,1.909,150.65,29.411
T74,6,Luminal B HER+,1.95,150.65,29.313
T74,6,Luminal B HER+,1,150.65,0
T78,6,Luminal B HER+,1.935,150.65,27.265
T78,6,Luminal B HER+,1.908,150.65,26.995
T78,6,Luminal B HER+,1,150.65,0
T80,6,Luminal B HER+,1.86,150.65,28.218
T80,6,Luminal B HER+,1.907,150.65,28.071
T80,6,Luminal B HER+,1,150.65,0
T81,6,Luminal B HER+,1.912,150.65,28.715
T81,6,Luminal B HER+,1.888,150.65,28.412
T81,6,Luminal B HER+,1,150.65,0
T93,6,Luminal B HER+,1.918,150.65,27.621
T93,6,Luminal B HER+,1.924,150.65,27.667
T93,6,Luminal B HER+,1,150.65,0
T94,6,Luminal B HER+,1.963,150.65,28.298
T94,6,Luminal B HER+,1.935,150.65,28.154
T94,6,Luminal B HER+,1,150.65,0
T121,6,Luminal B HER+,1.965,150.65,27.522
T121,6,Luminal B HER+,1.955,150.65,27.167
T121,6,Luminal B HER+,1,150.65,0
